,amazon_tweets
435,"New Samsung Galaxy M42 5G.
@amazonIN @SamsungIndia #SamsungM42 https://t.co/J4QNoGn3Pn"
436,Thank you team @amazonin for delivering my package and making this a safe and happy festive season #DeliverThanks #Amazon
437,Best Top Trending and Profitable Products To Sell On Amazon &amp; Flipkart B... https://t.co/esCL5ZIP1h via @YouTube @amazonIN @Flipkart
438,"hello Everyone!
My Name Samuel and I am a student. As a part of my Part Time Work to earn My Living I am acting as… https://t.co/Gw4xVr94Nw"
439,"All correct answers #FastestMonster @amazonIN @SamsungIndia #SamsungM42 
#win #AmazonQuiz #ContestAlert https://t.co/RhePKwuQgT"
440,"#FastestMonster   @amazonIN @SamsungIndia #SamsungM42 

Awaiting for this Awesome Model. https://t.co/RmWEHu1oRw"
441,Love the ease of @getsimpl. pls integrate with @Uber_India and @amazonIN  #KeepItSimpl
442,"In times of need, a great step taken by @amazonIN to help the country as it faces a huge challenge to cope up with… https://t.co/Aqx9I9d2S4"
443,"Dear Friends,

Request u to order Milk Shakes and Juices made by Storia and make the advt a rahe across India, tell… https://t.co/P6HSPvYFu2"
444,"Thankyou so much @amazonIN to help in the time of crisis by  airlift, import &amp; donate 100 @Medtronic ICU… https://t.co/Idc728OFNd"
445,Nice initiative by @amazonIN to airlift &amp; donate 100 ventilators as the country faces an alarming rise in Covid cas… https://t.co/1YwfQe6Ov3
446,"S RANI @SRANI37951181 
#AmazonQuiz 
#FitIndiaQuiz
Thanks Amazon for contest🙏
@amazonInQuiz 
@amazonIN 
@amazon https://t.co/039ipL5NIw"
447,"S RANI @SRANI37951181 
#AmazonQuiz 
#AmazonSpinandWin 
Thanks Amazon for contest🙏
@amazonInQuiz 
@amazonIN 
@amazon https://t.co/hw0PrxCm5Q"
448,"S RANI @SRANI37951181 
#AmazonQuiz 
#DailyQuizTime
Thanks Amazon for contest🙏
@amazonInQuiz 
@amazonIN 
@amazon https://t.co/qw3Liu2ZfZ"
449,Why is @amazonIN cancelling orders due to be delivered in second week of May and saying it’s because of Covid restr… https://t.co/hdPa8n8Pza
450,"Tried @getsimpl today.Awesome exp.Hope to use it soon on @Uber_India, @amazonIN, @myntra and @oyorooms  #KeepItSimpl"
451,"Hey,@amazonIN ,@amazon please make a separate app for Amazon pay,it's too irritating reaching actual payment interface."
452,"#FastestMonster #SamsungM42 
Beast one
@amazonIN 
@SamsungIndia https://t.co/e7tr6PryPm"
453,"T-165,#FastestMonster , @amazonIN and @SamsungIndia, #SamsungM42 https://t.co/VK1eP1NZsl"
454,"Keep it up @amazonIN, nowadays amazon is flooding with fake sellers, @FCUK did you allow this cheap mimic to be sol… https://t.co/k9HfIpDXVM"
455,Watch out for the Samsung M42 5G...#FastestMonster #SamsungM42 @amazonIN @SamsungIndia https://t.co/iugSQymghJ
456,For OXYGEN SUPPLY to hospitals please consider immediately hiring PROFESSIONAL LOGISTIC PROVIDERS like @amazonIN… https://t.co/sYbhqd6vYA
457,Congrats to @InitiativeWW &amp; @amazonIN on being honored with the bronze metal under the category Best Use of Enterta… https://t.co/OSuukG9isI
458,"I've ordered the N-95 masks on 18 April, now it's 27 April, yet not delivered by @amazonIN , they promised to deliv… https://t.co/ldrj4lMkgv"
459,"Introduce @amazonpay Business app for iOS too.
@AmazonHelp @amazonIN"
460,"I have ordered oxymeter on Amazon, Amazon box was delivered but there was nothing in that box. I am surprised, Amaz… https://t.co/ElY3E2UXff"
461,Bought a FCUK SMARTWATCH T1 model from Amazon india to gift it.The product listing was gone soon after it was purch… https://t.co/tOhS1lBPb4
462,Why is @amazonIN selling masks with valves ? https://t.co/YvIVFakUxA
463,"I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/lRhwIPdcRZ

#AmazonQuiz @amazonIN"
464,Do try this amazing one on Amazon #AmazonSpinandWin and surprise ur mom this mother's day with these amazing gifts.… https://t.co/dUV2NkOeG7
465,Even in this pandemic time @amazonIN has done better job then @Flipkart . Sorry to say but it's the fact. The custo… https://t.co/2E8hH5F2v6
466,"Where is the bundle offer (Mi Band 5 @500rs) for Mi 11X Lunar White 6 +128 GB version?

I'm not able to find anywhe… https://t.co/7lm88z2A7G"
467,"Aatomize Fully Automatic Domestic Flour Mill Aata Maker, Flour Mill, Ghar G... https://t.co/OFTPRCNFbN via @amazonIN https://t.co/DhtFUDoRTu"
468,"Hello @amazonIN @AmazonHelp @XiaomiIndia @MiIndiaSupport 
How to order #Mi11X with mi band 5...There is no proper l… https://t.co/K6kllMBAYo"
469,"Aatomize Fully Automatic Domestic Flour Mill Aata Maker, Flour Mill, Ghar G... https://t.co/A5t4FuH8KH via @amazonIN https://t.co/wghE4sKqYS"
470,"Aatomize Fully Automatic Domestic Flour Mill Aata Maker, Flour Mill, Ghar G... https://t.co/oi7T0ueqll via @amazonIN https://t.co/PV6x25LX6W"
471,"Aatomize Fully Automatic Domestic Flour Mill Aata Maker, Flour Mill, Ghar G... https://t.co/y2zwcvbaXL via @amazonIN"
472,"Aatomize Fully Automatic Domestic Flour Mill Aata Maker, Flour Mill, Ghar G... https://t.co/JuTgflGloZ via @amazonIN"
473,"We continue to help to #savelives to help #India fight #COVID19 by airlifting, import and donating 100 @Medtronic I… https://t.co/f2VztKSxtk"
474,"As a part of our commitment to help #India fight the devastating second wave of #COVID19, @amazonIN  will airlift,… https://t.co/yVh9hmE2RZ"
475,Dear Cheaters of @amazon @amazonIN ... how come you guys keep trying to break the trust and dupe money from custome… https://t.co/xlLSaIHmSy
476,"Hii @amazonIN 
Can i know when will the no cost emi for other banks will start for Redmi note 10 pro max?"
477,"#IWonOnAmazon 
Playing almost every single day since a year. But never won. Why so? @amazonIN @amazon @AmazonHelp… https://t.co/Jq3A2mX2OD"
478,"S J.D. @SJD72489404 
#AmazonQuiz 
#FitIndiaQuiz
Thanks Amazon for Contest 👍
@amazonInQuiz 
@amazonIN 
@amazon https://t.co/5qNF25sgig"
479,Dear @amazonIN please clear status of this order. It's almost two week.. every time I try to track package it's sho… https://t.co/oWxQbhPmQ3
480,"S J.D. @SJD72489404 
#AmazonQuiz 
#AmazonSpinandWin 
Thanks Amazon for Contest 👍
@amazonInQuiz 
@amazonIN 
@amazon https://t.co/IheBc7MSps"
481,"S J.D. @SJD72489404 
#AmazonQuiz 
#AmazonSpinandWin 
Thanks Amazon for Contest 👍
@amazonInQuiz 
@amazonIN 
@amazon https://t.co/f4Q37lcZbT"
482,"S J.D. @SJD72489404 
#AmazonQuiz 
#DailyQuizTime
Thanks Amazon for Contest 👍
@amazonInQuiz 
@amazonIN 
@amazon https://t.co/nExIlnZ43b"
483,Using M40 Samsung for playing @MobileLegendsOL till now. I'm hoping to get my hands on this monster by… https://t.co/mQD1GVflyj
484,Dear @amazonIN I know ek bewakoof insaan ne kahaa tha Aapda main Awsar dhoondne ko. But plz people here in India r… https://t.co/CbTonWcotD
485,. @AmazonFresh @amazonIN this is the ripe papaya I got from Amazon today noon for Rs89/-. I wish Amazon keeps bette… https://t.co/Jx5y1bP72w
486,"#Craft #Sheet A4 Size Colored 
https://t.co/FEq2M9teUV  @amazonIN 

#expressionchart #kids #kidsofinstagram… https://t.co/xcXIACrz0C"
487,This is so bad management by @amazonIN @AmazonHelp i have ordered 8 jackets and received only 3 spoke to customer s… https://t.co/oxY7dwOmN6
488,"On April 20, I ordered a 25 pack set of LED bulbs from Amazon. I did not find only empty boxes of Ballabh in it and… https://t.co/lP6qZmplcU"
489,"hey @Uber_India, @amazonIN and @NetflixIndia haaaaaaaave you met @getsimpl"
490,"Dear @Flipkart  @flipkartsupport ,

If you can't deliver the products ordered by us, why the hell do you exist ?? W… https://t.co/tE5OPdh81K"
491,Amazon fraud with me 11399 rupees plz.. Refund my money amazon send me wrond product @amazonIN @AmazonHelp plz... C… https://t.co/69MDJttJCv
492,I love this security and safety systems #FastestMonster @amazonIN @Ssmsungindia #SamsungM42 https://t.co/FOMoguDEAp
493,"#AmazonQuiz

@amazonIN

I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/ZZmUxoCHJC"
494,"#FastestMonster @amazonIN @SamsungIndia #SamsungM42 
Please,I want this phone really bad https://t.co/muQPEiAMRf"
495,"Hey, @amazonIN When my 2nd gen FireTV stick will get the new updated UI update? #firetvstick"
496,Hello @amazonIN I am not able to use my #amazonpaycard as it's getting declined and also don't know who to ask for… https://t.co/cRUf3u2N4H
497,"#samsungm42 with Qualcomm Snapdragon 750G 🔥🔥
@amazonIN @SamsungIndia #fastestmonster https://t.co/Eb9rjkYqBy"
498,Thank you team @amazonin for delivering my package and making this a safe and happy festive season #DeliverThanks #Amazon
499,"Wish @amazonIN launches a bank in India to free 140 crore Indians of their exploitation &amp; misery. 

@amazon @JeffBezos"
500,Thank you team @amazonin for delivering my package and making this a safe and happy festive season #DeliverThanks #Amazon
501,"It's time that we take a step back and appreciate the day in day out efforts of employees of @Flipkart , @amazonIN… https://t.co/a9DLFwuwNx"
502,"Make epic happen with #MiNoteBook14.

- Upto 10th Gen Intel® Core™ i7
- 8GB RAM &amp; 512 SSD Storage
- 1.35 kg Feather… https://t.co/napv7pybcs"
503,Hey @AmazonHelp @amazonIN @amazon I buyed a product that was tempered (seal broken) I complained about this Amazon… https://t.co/QV8j2SO08D
504,"Samsung's M series is awesome
#FastestMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/yRj2aqQSwi"
505,Why Amazon India has stopped seller pick up of covid products from Delhi.  Whereas Flipkart is continuing.@amazon @amazonIN  @Jeff_Bezoz_bot
506,"Hi @AmazonHelp , care to explain this. As the part of No cost EMI what price is reduced here. The product is marked… https://t.co/ofBS3A1vtN"
507,Thank you team @amazonin for delivering my package and making this a safe and happy festive season #DeliverThanks #Amazon
508,"No 1 BEST SELLER Music Books @amazonIN Amazon 
#AnandBakshi #आनंद_बक्षी 🖌 🎶 https://t.co/WsO9UdXdni… https://t.co/3v3AZ6Xan3"
509,"try For Amazon SpinandWin contest and lucky chance to winning existing reward  @amazon
@amazonIN #AmazonSpinandWin https://t.co/27wi4ZrvVR"
510,"Amazon Quiz Contest Answers For April 27, 2021 @amazonIN https://t.co/bHsTOnfsHu via @gizbot"
511,"Really i am in love with #Mi11X series and happy about launch in india

I Loved its all iconic features
✅… https://t.co/0dwxVKguQI"
512,Love the ease of @getsimpl. pls integrate with @Uber_India and @amazonIN  #KeepItSimpl
513,"Look Smart, Feel Comfortable and Have lots of Fun with #bumchums.
Shop @ https://t.co/EUtOLrvIlF
Also shop… https://t.co/IDJbRiM6Da"
514,"Really i am in love with #Mi11XSeries &amp;happy about launch in india

I Loved its all iconic features
✅… https://t.co/iTkC9Zlw8K"
515,My Favourite feature is Monster 750G 5G processer @amazonIN @SamsungIndia #SamsungM42 #FastestMonster https://t.co/54X4w0WblC
516,My Favourite feature is Super safety Samsung PAY @amazonIN @SamsungIndia #SamsungM42 #FastestMonster https://t.co/1TDn49kYGJ
517,Deal of the day: Inalsa Industrial Wet and Dry Micro WD21-1600W Vacuum Clea... https://t.co/kKeSnElu7C via @amazonIN
518,My Favourite feature Most Safety Knox Security @amazonIN @SamsungIndia #SamsungM42 #FastestMonster https://t.co/kqHbkTBfbV
519,My Favourite feature is Monster 5G processer @amazonIN @SamsungIndia #SamsungM42 #FastestMonster https://t.co/TQGWjNnkNB
520,Vandelay Infrared Thermometer - 3 years Sensor Warranty - MADE in INDIA - N... https://t.co/xrh1e9H3iG via @amazonIN
521,"hello @amazon @amazonIN @AmazonHelp  i have ordered kamasutra condoms pack of 20, but recieved moods condoms pack o… https://t.co/PBIMpSYEiB"
522,"Amazon and SBI not at all helpful. Amazon says, we have refunded amount, SBI says we haven't received amount.  So e… https://t.co/8PLWaEIxWW"
523,"#Mi11X: A Cut Above The Best.💪

✅ #Snapdragon870 
✅ #120Hz E4 #AMOLED
✅ #DisplayMate A+
✅ #1300nits brightness
✅… https://t.co/9X3iby85ii"
524,"Hi @amazonIN why is this ORDER getting delayed by each day? 
Order ID 407-0797545-7337957 https://t.co/zT2DRYSQ88"
525,"Aap @amazonIN ki costumer service samajhiye. 
Two days before. Pickup will be tomorrow and refund will be issued as… https://t.co/Cd45nvOHQc"
526,"#AmazonSpinandWin
Done Team @amazonIN 
Hope to be lucky https://t.co/ZeCKK9qJ1n"
527,"#AmazonSpinandWin
Done
Biggest wish to win dear team @amazonIN https://t.co/ZdCfM27vgl"
528,"Hey @amazonIN &amp; @Flipkart can you request government to atleast exclude smartphone from non essential product 

Bec… https://t.co/1WXRV0n0yu"
529,"#amazon Daily QuizTime
@amazonIN https://t.co/IaTOB5dh5n"
530,"Dear @amazonIN 

I have been using Audible for last one year. Now i want to end the subscription but sadly i cannot… https://t.co/TnTi7w6mqu"
531,"#AmazonSpinandWin
@amazonIN 
#amazon mother's day celebration https://t.co/Q9nvG93bLx"
532,"Summers are for detoxing! The Skin Story's Moringa &amp; Shea Butter Face Wash, enriched with Witch Hazel, removes impu… https://t.co/MUp0pS7G1q"
533,"Firstly, I would like to thanks @JeffBezos for providing oxygen concentrator to India.And secondly I would like to… https://t.co/781K4ey2dC"
534,Amazon fraud with me 11400 rupees plz.. Refund my money amazon send me wrond product @amazonIN @AmazonHelp plz... C… https://t.co/wgMa2vQSwc
535,"Thank you @amazonIN for this wonderful opportunity to win!
#AmazonSpinandWin https://t.co/tI96kGR2qi"
536,"Thank you @amazonIN for this wonderful opportunity to win this awesome GoPro Camera...!!!
#AmazonQuiz https://t.co/XGFGQNLa7D"
537,Going to make purchase worth 75K from @Flipkart as @amazonIN duped with a Free Prime banner which would not work. R… https://t.co/xzyaskJQYD
538,In Bhubaneswar @amazonIN Pantry delivering faster than @JioMart even though later has many offline stores. Ordered… https://t.co/jQCeIn3tFO
539,"I Loved Its #Mi11X Latest technology ❤️

#BestPhoneWithBestPrice on #Mi11X ❤️📱

Biggest wish to win 🎉🍀… https://t.co/0Ynjz3oR5i"
540,"#Mi11X: 

Best phone with best price ❤️📱

#Snapdragon870 
#120Hz E4 #AMOLED
#DisplayMate A+
#1300nits brightness… https://t.co/zY7SY6HJkk"
541,Amazon sold used product instead of a brand new product.This is a replacement product. Previous product was same. S… https://t.co/3EoZ9fJuE6
542,"Everyone selling bad quality oximeters now! All fake ones everywhere. Can't trust no one here!
Heights of inhuman b… https://t.co/cLuYwBamqn"
543,I played this interesting Spin And Win on Amazon-Play games at Amazon FunZone https://t.co/1PrASs47qT @amazonIN… https://t.co/c15iAizYXZ
544,Agreed they also looting people in this bad time @amazonIN @Flipkart very bad https://t.co/vrmh7VtrvB
545,"#Mi11X

I Loved Its
✅ #Snapdragon870 
✅ #120Hz E4 #AMOLED
✅ #DisplayMate A+
✅ #1300nits brightness
✅ #Magic… https://t.co/P6qX1lopQ7"
546,"hi @Uber_India, @amazonIN, @hellomilkbasket, @myntra, @dominos_india, @NetflixIndia, @hotstartweets and @MyNykaa pl… https://t.co/gGfrznuO4g"
547,"#Mi11X

I Loved Its
✅ #Snapdragon870 
✅ #120Hz E4 #AMOLED
✅ #DisplayMate A+
✅ #1300nits brightness
✅ #Magic… https://t.co/6a3m8A2Rmq"
548,Samsung is releasing Fastest Monster as SAMSUNG GALAXY M42 5G. It has many awesome features like QUALCOMM SNAPDRAGO… https://t.co/EUuIYg1F28
549,"bundle pack of mi band 5 with #Mi11X (Celestial Silver, 8GB RAM, 128GB Storage) was not available in @amazonIN why… https://t.co/eEoWqqyvQL"
550,"Didn't recieve a product from @amazonIN and delivery status was false 
But thankfully this guy from customer servic… https://t.co/zRKqFDVEqQ"
551,"Mi 11X with SD 870 starting ₹26,499* now available on #amazonIN https://t.co/jmvL9Xj1Wr https://t.co/3JkALScdQT"
552,"Redmi Note 10 Pro Series starting Rs 16,999 now available on #amazonIN https://t.co/HSN4DYCmfy https://t.co/bsHduKcIqZ"
553,"#Mi11X

I Loved Its: 
✅ #Snapdragon870 
✅ #120Hz E4 #AMOLED
✅ #DisplayMate A+
✅ #1300nits brightness
✅ #Magic… https://t.co/XAM77Ialdm"
554,"#Mi11X

I Loved Its: 
✅ #Snapdragon870 
✅ #120Hz E4 #AMOLED
✅ #DisplayMate A+
✅ #1300nits brightness
✅ #Magic… https://t.co/DqCOkzprf5"
555,"Dear @amazonIN what the hell are you doing,I found spelling mistake on your official amazon app which is… https://t.co/palPz97gen"
556,"#Mi11X: A Cut Above The Best.💪

✅ #Snapdragon870 
✅ #120Hz E4 #AMOLED
✅ #DisplayMate A+
✅ #1300nits brightness
✅… https://t.co/VjT2ONWQwh"
557,"Breaking the monotony of smartphone flagships, we present to you:

#Mi11X- A Cut Above The Best Ft.Exceptional Disp… https://t.co/7wq7MQdwZZ"
558,"#letshelpeachother 
Support from all over the world. We will recover this!!
@Google 
@Microsoft 
@amazonIN… https://t.co/DQm81ocMRL"
559,I won't even get a refund till the product reaches the seller. I have my exams and will have to suffer because of i… https://t.co/3i4cgqbfQL
560,"#Mi11X: A Cut Above The Best.💪

✅ #Snapdragon870 
✅ #120Hz E4 #AMOLED
✅ #DisplayMate A+
✅ #1300nits brightness
✅… https://t.co/wQKoZz3Uu1"
561,"The government guidelines/ restrictions were in place on the day I placed the order but I wasn't informed.
For 2 da… https://t.co/TBkuklMuZc"
562,"On enquiring, I was told that there was some issue in the product due to which it had to be cancelled. On enquiring… https://t.co/D4ThXIVo3S"
563,"#AmazonSpinandWin
I am eligible to win 😃 Vivo U10📱 (Electric Blue, 5000 mAH 18W Fast Charge Battery, 3GB RAM, 32GB… https://t.co/qvREMjIX7M"
564,"What the hell is happening here @amazon @amazonIN @AmazonHelp ?
This is ridiculous that I received a 30k costly pro… https://t.co/gRHmL9j4Lp"
565,"Woah!🔥
#FastestMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/fpJc2PXbcK"
566,"The next day ie., on 26th, I called the executive again and I was assured of the delivery by 7 PM. I called again i… https://t.co/QLTmm2di0f"
567,"#AmazonQuiz 
#QuizTimeMorningsWithAmazon 
I am eligible to win 😃 GoPro HERO 9 Camera. 📷
Thankyou Amazon and team fo… https://t.co/zqD7kf2HfF"
568,I was told by the executive that there were certain restrictions in the area. I told him it was urgent for me and a… https://t.co/6d065ep2EJ
569,I'm writing this as a grievance against @amazon @AmazonHelp @amazonIN I placed an order for a laptop on 18th of Apr… https://t.co/XHHSdYoFX8
570,"It's the fastest monster having snapdragon 750g processor.
#FastestMonster
@amazonIN @SamsungIndia
#Samsungm42 https://t.co/0D6pU7PLoT"
571,"#AmazonSpinandWin 
I  am eligible to win 😀 Timex Analog White Dial Women's Watch⌚.
Thankyou Amazon and team for thi… https://t.co/PgwpRxic7x"
572,"#IWonOnAmazon
boAt Stone 1000 14W Bluetooth Speaker(Black) #AmazonSpinandWin @amazonIN #Amazon https://t.co/GGdE1APPqJ"
573,"#AmazonQuiz 
I am eligible to win 😀 GoPro HERO9 Black — Waterproof Action Camera 📷 with Touch Screen 5K Ultra HD Vi… https://t.co/h19g9LHXto"
574,Thank you @amazonIN 🙏 https://t.co/Gsnd4JpaVB
575,"Dear @amazonIN , I am a customer since 2013 and I am proud to be a part of the worlds most customer centric company… https://t.co/pOiFMfzwXI"
576,These days the privacy is one of the most important thing in smartphones . In India someone who belongs to middle c… https://t.co/1XQZqhCT9J
577,"Bro this will be the best budget 5g phone like damn so many features at once.🔥♥️🖤
#FastestMonster @amazonIN… https://t.co/bD1Rk6iSOn"
578,"Find the answer in #TheBeraBond, as stunning images bring the story to life.
Available now on @amazonIN… https://t.co/MTc8gJoqFL"
579,"MOST MISLEADING
&amp; CHEATING IDEA from @amazonIN 

Has anyone got these awards by shopping?

@amazon https://t.co/2cSYJZ6zLD"
580,Snapdragon 750G and @SamsungIndia brand value is my favourite feature #SamsungGalaxyM42 #SamsungM42 #FastestMonster… https://t.co/VxV12tBfq7
581,Shameless @amazonIN has started taking orders of non essential items despite #lockdown in #Maharashtra with deliver… https://t.co/5t82OicjuH
582,#FastestMonster @amazonIN @SamsungIndia #SamsungM42 excited for 750G snapdragon processor and knox security in mid… https://t.co/j8C3EUqomi
583,"The Perfect Underwear for Any Occasion You need!
Shop DCI Drawer @ https://t.co/CR4VksBdcJ
Also shop @Flipkart :… https://t.co/HwzqvMuG1n"
584,Ab kya singapore me mangau @amazonIN . Wtf do u mean by different delivery loc. This is the status from past 1 month https://t.co/4otZS6ufSL
585,Dear @amazonIN @AmazonHelp I have been trying to get a refund for a product that I paid for which wasn't delivered… https://t.co/zD8xBQfT7Y
586,"Order number # 408-2483475-3458736
@amazon @amazonIN @AmazonHelp Firstly i have received the wrong product on 14 ap… https://t.co/npA6gH1cwX"
587,Thank you @CRED_club for giving us an opportunity to be part of helping hand to the country #India in this rough ti… https://t.co/NlfZdUUsm8
588,Dear @amazonIN my order no 402-7640687-2967543 is more important for my family this time. Plz send this item on my… https://t.co/Wwo7MBeXaF
589,"Waiting to keep my hands on it 

#FastestMonster, @amazonIN and @SamsungIndia #SamsungM42. https://t.co/eTmF5HbeVl"
590,"कोइ तो मदद कर दो 🙏
Need Very Urgent treatment for his sister , Oxygen Level Below 80. Plz Save her life. Please pro… https://t.co/7QmMukWUCM"
591,"#AmazonIndia has joined hands with ACT Grants, #TemasekFoundation, Pune Platform for #COVID19India Response (#ppcr)… https://t.co/Qs3wtUFvBP"
592,My product is showing the status as Delivered but didn't get deliver yet. Pls assist @amazonIN @AmazonHelp
593,"Amazon is giving you a chance to win the Mi 11X smartphone by its quiz contest. #Mi11XSeries @amazonIN
https://t.co/lkqzQiVBvt"
594,.@XiaomiIndia Mi 11X is on sale via @amazonIN already. The phone was originally supposed to go on sale at 12 pm. Do… https://t.co/qXjeQYvJId
595,Why is an @AmazonHelp  executive asking me my email and sending me an otp to acess my account ??just to cancel an o… https://t.co/B202zijFvy
596,#AmazonQuiz @Amazonquiztime @amazonInQuiz @amazon @AmazonHelp @amazonIN @GoPro #LovefromPune Hey Amazon I Eish To W… https://t.co/0zJuqCRckf
597,#AmazonSpinandWin @Amazonquiztime @amazonInQuiz @amazon @AmazonHelp @amazonIN #LovefromPune Hey Amazon I Wish To Wi… https://t.co/rczfTydwh6
598,#AmazonSpinandWin @Amazonquiztime @amazonInQuiz @amazon @AmazonHelp @amazonIN #LovefromPune Hey Amazon I Wish To Wi… https://t.co/sXAm8K67qQ
599,"nice quiz on Amazon
@amazon  @amazonIN
#AmazonQuiz https://t.co/A6Wfmrthke"
600,Hello @Twitch @amazonIN why is twitch prime still not available for India?
601,"Late Late Late
Flipkart close ur company
Gonna buy all the things from Amazon
Atleast they delivers in time
(Realme… https://t.co/q3jigcqJvH"
602,Shame on @amazonIN @Flipkart https://t.co/IbzGtP86H3
603,"Attached below are all the features I liked in Samsung Galaxy M42

#SamsungM42 #FasterMonster
@amazonIN… https://t.co/q7dDIZxGSO"
604,"Hi @amazonIN, I have ordered same product twice but I want 1 only. Can you please refund money for 1 order? It will be great help to me."
605,"Try your luck 
@amazonIN
@amazon
 #AmazonQuiz 
#AmazonQuiz https://t.co/rK0dF1pGlB"
606,On-the-go solution for payments from #SamsungPay gets faster and inclusive with #FastestMonster. @amazonIN… https://t.co/5OYGxIBqZm
607,"As @JeffBezos owned @washingtonpost is against Indian interests, it's time to show the power of Indian unity to Ame… https://t.co/uQQFtknj1u"
608,"Ok Done 
@amazonIN @amazon
#AmazonSpinandWin https://t.co/6wwyj2c5ZV"
609,.@amazonIN Kindly prioritise medical supplies to COVID impacted homes. In addition provide them Prime subscription… https://t.co/0I83sZhQCE
610,"Successfull quiz on 
Amazon spin and win 
@amazonIN  @amazon
#AmazonSpinandWin https://t.co/0MFt3jMTdV"
611,"#FastestMonster 
@amazonIN 
@SamsungIndia 
#SamsungM42
Monster fast performance.
😍😍😍 https://t.co/583s02sLCj"
612,An Absolute Beast #FastestMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/oKHssH8OPx
613,"#FastestMonster @amazonIN @SamsungIndia #SamsungM42. 
All I want to say #Samsung is great smartphone manufacturer.… https://t.co/zZL2dfgAgJ"
614,ordered this book on amazon Order # 405-3791889-2250709 On 9th april the status showed delivered to me on 19 April… https://t.co/V1FINeDdYI
615,"Looks like @amazonfiretv  is making money now.

Adds on my Fire TV stick 😕

@amazonIN @amazon @AmazonHelp"
616,#amazonspinandwin @amazonIN  can I win ? https://t.co/2KCGRhB3aj
617,"Thank you so much @MiIndiaSupport
 @manukumarjain @amazonIN @MiIndiaFC    I played this interesting Quiz on Amazon-… https://t.co/ElxEMbnYqX"
618,"Mi 11X starting ₹29,999 | Sale today at 12 Noon. #amazonIN https://t.co/IC8t4aLhvj

Upto ₹3,500 Instant Discount wi… https://t.co/N5M874sJF9"
619,Thank you @amazonIN 🙏 https://t.co/DtymRTBJ9S
620,"Just wanted to ask @amazonIN why are u fooling resellers if u want to direct business with all the corporates ?
You… https://t.co/kUmynWE5gR"
621,"Thanks for this quiz. #AmazonIN

#AmazonSpinandWin https://t.co/9jBKeRzYDy"
622,"Thanks for this quiz. #AmazonIN

#Dailyquiz https://t.co/JQYsK3tKNt"
623,"Nice contest @amazonIN 
#DailyQuizTime https://t.co/4H3Pu1DZlm"
624,I played this interesting Guess and Win on Amazon-Try your luck for a chance to win exciting rewards.… https://t.co/3SocVFJ0qK
625,"Dear @amazonIN you cancelled 3 of my orders out of which 2 were essential.
1st was masks
2nd was coffee. Isn't it m… https://t.co/D4vHXBvWYY"
626,"Lack of responsibility; 3 days back Amazon says shipment is in destination city, but now suddenly item is 2000 km a… https://t.co/3Y0M8fMpAj"
627,The two important categories of Indian startups and entrepreneurs @amazonIN is funding are Agri Tech and Healthcare… https://t.co/SJMwKkGntd
628,ARTS 4 EVER by Williamsji Maveli  https://t.co/84EP4H1Ad5 via @amazonIN
629,As discussed with icici and Amazon resudule 26 ARP but still no visit any agent.@ICICIBank_Care @AmazonHelp… https://t.co/GNDlyguYGI
630,To all the companies that love good pr... This is your time to shine... Help the people... India will remember… https://t.co/pLLyIOEIek
631,"I have a new book out in the thick of the pandemic. 
More Things in Heaven and Earth.  It is a dark tale, a hauntin… https://t.co/lfKvadxXmo"
632,"#FastestMonster @amazonIN ,
@SamsungIndia , #SamsungM42 .

These are the best features of samsung galaxy M42. https://t.co/frPing0acE"
633,"When i want open M42 samartphone then open iqoo7 series smartphone 
I think this is bug  @amazonIN @SamsungIndia https://t.co/CvqXhFS6nY"
634,"Hey Alexa, the Indian government is busy with bengal elections, can you step in, to save your potential customers… https://t.co/N3Eenrr1V1"
635,"Kush sharma @kushsha02165296 @amazonIN @AmazonAlexaIN @amazon
Played the monster quiz
#IQOO75GAmazonQuiz… https://t.co/BCNSN1xYE3"
636,"Finally got a smartphone for new Era🥇
Can't wait to get full specs🕵️
As fast as lightning  ⚡
Loved the security fea… https://t.co/beFx5ummr7"
637,"Noise Colorfit Pro 2 Full Touch Control Smart Watch 

buy now on Amazon 👇
     https://t.co/Qrmyozx6hG… https://t.co/jrVemES2ww"
638,"Do Not Disturb Game. .Lover Here🤘🤘💯🤖
#FastestMonster
@amazonIN @SamsungIndia #SamsungM42 https://t.co/wpfH2BFDCT"
639,"Dear @amazonIN, seems this is new way of delaying or not providing a resolution.
 
Had I pinged my ex 8 times, even… https://t.co/bCJIMBFfYf"
640,"HEY @Uber_India, @amazonIN, @myntra, @NetflixIndia, @hotstartweets and @oyorooms Y U NO @getsimpl  #KeepItSimpl and liquor outlets too"
641,"#OnePlus9seriesAmazonQuiz 
#AmazonQuiz
@amazonIN
@amazon
I played this interesting Quiz on Amazon-Play games at Ama… https://t.co/TRzx7v6JA7"
642,"Love the ease of @getsimpl. pls integrate with @Uber_India, @amazonIN, @myntra, @hotstartweets and @oyorooms  #KeepItSimpl"
